GLB_ID,OSM_ID,OSM_TYPE,NAME,BUILDING_TYPE,MATERIAL
TPX_Buildings_0,1626508235,node,胡家花园,yes,concrete
TPX_Buildings_1,1626508235,node,胡家花园,yes,concrete
TPX_Buildings_2,1626508235,node,胡家花园,yes,concrete
TPX_Buildings_3,1626508235,node,胡家花园,yes,concrete
TPX_Buildings_6,1626508235,node,胡家花园,yes,concrete
TPX_Buildings_7,1626508235,node,胡家花园,yes,concrete
TPX_Buildings_9,1626508235,node,胡家花园,yes,concrete
TPX_Buildings_12,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_Buildings_13,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_Buildings_15,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_Buildings_17,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_Buildings_21,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_Buildings_22,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_Buildings_23,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_Buildings_24,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_Buildings_26,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_Buildings_34,1626508235,node,胡家花园,yes,concrete
TPX_RoadsOutlines_1,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_RoadsOutlines_4,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_RoadsOutlines_5,1626508235,node,胡家花园,yes,concrete
TPX_RoadsOutlines_6,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_RoadsOutlines_7,1626508235,node,胡家花园,yes,concrete
TPX_RoadsOutlines_10,1626508235,node,胡家花园,yes,concrete
TPX_RoadsOutlines_11,1626508235,node,胡家花园,yes,concrete
TPX_RoadsOutlines_12,1626508235,node,胡家花园,yes,concrete
TPX_RoadsOutlines_13,1626508235,node,胡家花园,yes,concrete
TPX_RoadsOutlines_20,1626508235,node,胡家花园,yes,concrete
TPX_RoadsOutlines_22,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_RoadsOutlines_26,1626508235,node,胡家花园,yes,concrete
TPX_RoadsOutlines_27,1626508235,node,胡家花园,yes,concrete
TPX_RoadsOutlines_32,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_RoadsOutlines_33,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_RoadsOutlines_34,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_RoadsOutlines_35,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_RoadsOutlines_36,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_RoadsOutlines_39,2726487564,node,武夷绿洲品兰苑,apartments,brick/concrete
TPX_RoadsOutlines_40,1626508235,node,胡家花园,yes,concrete
TPX_RoadsOutlines_41,1626508235,node,胡家花园,yes,concrete
TPX_GreenAreas_6,1626508235,node,胡家花园,yes,concrete
TPX_GreenAreas_7,1626508235,node,胡家花园,yes,concrete
TPX_GreenAreas_8,1626508235,node,胡家花园,yes,concrete
TPX_Ground_0,1626508235,node,胡家花园,yes,concrete
